"Date","Price","Open","High","Low","Vol.","Change %"
"09/16/2022","108.25","109.21","109.58","106.96","15.98M","-2.27%"
"09/15/2022","110.77","112.39","114.41","110.71","9.74M","-1.54%"
"09/14/2022","112.50","111.85","112.74","109.88","8.61M","0.66%"
"09/13/2022","111.76","113.05","113.82","111.17","10.50M","-3.98%"
"09/12/2022","116.39","116.14","117.49","115.27","7.92M","1.05%"
"09/09/2022","115.18","113.27","115.53","113.19","9.57M","2.54%"
"09/08/2022","112.33","111.07","112.99","110.36","8.44M","-0.32%"
"09/07/2022","112.69","109.87","112.96","109.87","8.19M","2.36%"
"09/06/2022","110.09","111.77","111.78","108.52","9.54M","-1.00%"
"09/02/2022","111.20","113.05","113.89","110.84","8.47M","-1.18%"
"09/01/2022","112.53","111.79","112.59","110.03","7.72M","0.40%"
"08/31/2022","112.08","112.87","113.75","111.85","7.35M","-0.31%"
"08/30/2022","112.43","114.28","114.75","111.45","8.06M","-0.97%"
"08/29/2022","113.53","112.54","114.47","112.41","6.88M","-0.47%"
"08/26/2022","114.07","117.47","118.37","113.89","7.81M","-2.89%"
"08/25/2022","117.46","117.02","117.77","116.11","6.92M","0.90%"
"08/24/2022","116.41","114.67","117.16","114.10","7.84M","1.35%"
"08/23/2022","114.86","115.98","116.37","114.62","7.18M","-0.93%"
"08/22/2022","115.94","117.70","118.21","115.69","11.58M","-3.50%"
"08/19/2022","120.14","121.25","121.39","119.48","8.70M","-2.06%"
"08/18/2022","122.67","123.01","123.13","121.71","7.34M","-0.11%"
"08/17/2022","122.81","123.45","124.48","122.57","9.14M","-1.72%"
"08/16/2022","124.96","124.73","126.48","123.45","14.61M","0.56%"
"08/15/2022","124.26","121.00","125.96","120.99","24.63M","2.21%"
"08/12/2022","121.57","119.00","121.61","118.92","21.96M","3.30%"
"08/11/2022","117.69","122.21","123.27","117.33","50.38M","4.68%"
"08/10/2022","112.43","112.48","112.67","109.91","26.40M","3.98%"
"08/09/2022","108.13","109.22","109.22","107.03","8.78M","-0.90%"
"08/08/2022","109.11","108.21","111.23","107.90","13.05M","2.33%"
"08/05/2022","106.63","106.81","107.70","105.37","10.10M","-1.38%"
"08/04/2022","108.12","108.92","109.45","107.66","7.32M","-0.83%"
"08/03/2022","109.02","105.73","109.70","105.73","11.24M","4.12%"
"08/02/2022","104.71","105.74","106.36","104.62","9.09M","-1.42%"
"08/01/2022","106.22","104.87","106.65","103.86","7.77M","0.11%"
"07/29/2022","106.10","105.14","106.34","103.37","10.32M","1.14%"
"07/28/2022","104.90","103.25","104.97","102.71","7.97M","1.35%"
"07/27/2022","103.50","100.97","103.65","100.81","9.45M","3.73%"
"07/26/2022","99.78","102.14","102.36","99.56","6.35M","-2.83%"
"07/25/2022","102.69","102.78","103.39","101.81","6.73M","-0.03%"
"07/22/2022","102.72","103.28","104.57","102.11","7.80M","-1.40%"
"07/21/2022","104.18","102.71","104.25","101.61","8.61M","0.80%"
"07/20/2022","103.35","100.25","104.26","99.95","15.11M","3.75%"
"07/19/2022","99.61","96.68","99.85","96.68","13.68M","4.09%"
"07/18/2022","95.70","96.36","97.27","95.31","10.43M","0.53%"
"07/15/2022","95.20","92.91","95.32","92.70","14.95M","3.66%"
"07/14/2022","91.84","91.48","92.04","90.23","11.15M","-1.18%"
"07/13/2022","92.94","92.12","93.25","91.01","12.01M","-0.71%"
"07/12/2022","93.60","93.58","95.25","93.31","8.67M","-0.04%"
"07/11/2022","93.64","95.00","95.34","93.43","7.65M","-2.32%"
"07/08/2022","95.86","96.57","97.12","95.35","7.72M","-1.61%"
"07/07/2022","97.43","96.90","97.53","95.93","7.81M","1.41%"
"07/06/2022","96.08","97.53","98.19","95.40","8.64M","-1.13%"
"07/05/2022","97.18","94.26","97.23","92.31","10.67M","1.08%"
"07/01/2022","96.14","94.24","96.31","93.98","10.54M","1.84%"
"06/30/2022","94.40","94.42","95.44","92.54","10.98M","-1.31%"
"06/29/2022","95.65","95.95","96.20","94.53","8.65M","-0.28%"
"06/28/2022","95.92","99.74","100.40","95.78","16.84M","-0.71%"
"06/27/2022","96.61","98.22","98.23","95.80","10.79M","-1.20%"
"06/24/2022","97.78","95.45","98.57","95.40","11.68M","3.69%"
"06/23/2022","94.30","93.96","94.65","92.07","11.35M","0.86%"
"06/22/2022","93.50","92.17","94.61","92.01","11.42M","0.23%"
"06/21/2022","93.29","94.90","95.45","93.26","16.65M","-1.11%"
"06/17/2022","94.34","94.01","95.97","93.47","15.40M","0.06%"
"06/16/2022","94.28","94.01","95.38","93.41","15.30M","-1.67%"
"06/15/2022","95.88","94.61","97.30","94.09","11.75M","1.76%"
"06/14/2022","94.22","96.27","96.27","93.10","12.44M","-1.56%"
"06/13/2022","95.71","97.61","97.61","94.83","15.24M","-3.71%"
"06/10/2022","99.40","101.43","102.12","99.38","15.39M","-3.78%"
"06/09/2022","103.30","106.53","107.06","103.25","8.27M","-3.76%"
"06/08/2022","107.34","107.43","109.36","106.96","7.02M","-0.42%"
"06/07/2022","107.79","106.79","107.92","106.00","7.28M","-0.04%"
"06/06/2022","107.83","109.75","110.19","107.65","7.58M","-0.77%"
"06/03/2022","108.67","109.17","109.85","107.92","6.77M","-1.98%"
"06/02/2022","110.87","109.43","110.95","107.91","8.83M","1.54%"
"06/01/2022","109.19","112.01","112.85","108.27","11.83M","-1.13%"
